order_id,order_date,customer_id,city,state,Age,Gender,category,sub_category,product_name,price,quantity,discount_pct,payment_mode,delivery_days,return_flag,rating,marketing_channel
OD1056,2/25/2024,C918,Nagpur,Maharashtra,19,Female,Home,Furniture,Men T-Shirt,52726,3,30,Card,5,No,,Referral
OD1057,2/26/2024,C746,Jaipur,Rajasthan,23,Male,Home,Laptop,Office Chair,3663,2,30,NetBanking,6,No,2,Ads
OD1058,2/27/2024,C120,Nagpur,Telangana,59,Female,Home,Laptop,Boat Earphones,41746,1,5,NetBanking,5,No,3,Ads
OD1059,2/28/2024,C940,Jaipur,Rajasthan,21,Male,Fashion,Clothing,Samsung Phone,20100,3,30,Card,9,No,5,Email
OD1060,2/29/2024,C266,Jaipur,Telangana,46,Male,Electronics,Decor,Boat Earphones,51098,2,15,NetBanking,9,No,3,Organic
OD1061,3/1/2024,C373,Chennai,Tamil Nadu,35,Male,Electronics,Kitchen,Redmi Phone,5051,3,0,COD,4,No,4,Email
OD1062,3/2/2024,C487,Ahmedabad,Gujarat,43,Female,Electronics,Clothing,HP Laptop,9916,2,40,UPI,2,Yes,2,Email
OD1063,3/3/2024,C700,Pune,Gujarat,51,Female,Fashion,Laptop,Wall Clock,59078,1,15,UPI,4,Yes,5,Ads
OD1064,3/4/2024,C415,Nagpur,Gujarat,27,Male,Fashion,Laptop,Office Chair,68706,2,0,Card,2,No,4,Referral
OD1065,3/5/2024,C113,Delhi,Delhi,53,Male,Fashion,Laptop,Wall Clock,4221,3,20,COD,3,Yes,,Email
OD1066,3/6/2024,C341,Pune,Karnataka,31,Male,Fashion,Footwear,Nike Shoes,40530,3,20,NetBanking,8,No,4,Organic
OD1067,3/7/2024,C876,Ahmedabad,Delhi,48,Female,Fashion,Decor,Men T-Shirt,21937,3,0,NetBanking,7,No,3,Ads
OD1068,3/8/2024,C445,Pune,West Bengal,32,Female,Electronics,Furniture,HP Laptop,59318,3,15,UPI,5,No,2,Email
OD1069,3/9/2024,C664,Bangalore,West Bengal,25,Male,Fashion,Furniture,Nike Shoes,44355,1,0,NetBanking,3,Yes,,Email
OD1070,3/10/2024,C997,Delhi,Rajasthan,31,Female,Fashion,Clothing,Prestige Cooker,34075,2,30,UPI,3,No,4,Organic
OD1071,3/11/2024,C439,Ahmedabad,Karnataka,40,Female,Electronics,Laptop,Men T-Shirt,42437,1,5,Card,7,Yes,1,Email
OD1072,3/12/2024,C191,Chennai,Tamil Nadu,57,Male,Fashion,Furniture,Boat Earphones,49527,1,40,NetBanking,7,No,3,Email
OD1073,3/13/2024,C466,Nagpur,Karnataka,38,Female,Electronics,Accessories,Samsung Phone,60306,1,20,COD,2,No,4,Email
OD1074,3/14/2024,C554,Kolkata,Telangana,33,Female,Electronics,Decor,Office Chair,50376,3,40,NetBanking,4,No,4,Email
OD1075,3/15/2024,C527,Ahmedabad,West Bengal,35,Female,Home,Furniture,Redmi Phone,43960,3,5,UPI,6,No,2,Organic
OD1076,3/16/2024,C608,Mumbai,Maharashtra,41,Male,Home,Kitchen,Redmi Phone,40968,3,30,Card,2,Yes,,Email
OD1077,3/17/2024,C875,Nagpur,Maharashtra,43,Female,Home,Decor,Boat Earphones,20934,2,30,UPI,6,No,1,Email
OD1078,3/18/2024,C134,Ahmedabad,Tamil Nadu,42,Male,Home,Kitchen,Women Kurti,14690,3,20,NetBanking,3,Yes,2,Email
OD1079,3/19/2024,C305,Bangalore,Telangana,58,Female,Fashion,Furniture,Redmi Phone,27885,2,20,UPI,6,No,4,Ads
OD1080,3/20/2024,C180,Kolkata,Rajasthan,46,Male,Home,Accessories,Office Chair,32220,3,30,UPI,4,Yes,2,Organic
OD1081,3/21/2024,C661,Bangalore,Delhi,32,Female,Electronics,Kitchen,Boat Earphones,55285,3,10,Card,2,No,2,Ads
OD1082,3/22/2024,C971,Kolkata,Telangana,18,Female,Fashion,Footwear,HP Laptop,14203,1,40,COD,9,No,5,Ads
OD1083,3/23/2024,C487,Mumbai,Maharashtra,42,Female,Home,Furniture,Redmi Phone,57134,1,5,NetBanking,7,No,,Organic
OD1084,3/24/2024,C101,Nagpur,Maharashtra,24,Female,Electronics,Footwear,Wall Clock,2622,1,40,Card,9,No,2,Ads
OD1085,3/25/2024,C489,Chennai,Rajasthan,26,Female,Fashion,Furniture,Boat Earphones,63492,2,5,COD,4,No,3,Ads
OD1086,3/26/2024,C665,Bangalore,West Bengal,41,Female,Fashion,Mobile,Office Chair,25915,2,10,UPI,8,Yes,2,Ads
OD1087,3/27/2024,C205,Bangalore,Telangana,18,Female,Home,Mobile,Wall Clock,2313,3,15,COD,4,No,1,Organic
OD1088,3/28/2024,C871,Jaipur,Telangana,25,Female,Fashion,Mobile,Men T-Shirt,50757,2,5,UPI,8,Yes,4,Email
OD1089,3/29/2024,C921,Kolkata,Maharashtra,41,Male,Electronics,Kitchen,Men T-Shirt,17007,3,40,UPI,2,No,3,Referral
OD1090,3/30/2024,C576,Hyderabad,Delhi,28,Female,Fashion,Footwear,Redmi Phone,36198,2,0,Card,7,No,2,Referral
OD1091,3/31/2024,C802,Nagpur,Tamil Nadu,34,Female,Electronics,Footwear,Wall Clock,46834,2,30,UPI,4,No,1,Organic
OD1092,4/1/2024,C501,Kolkata,Gujarat,25,Female,Fashion,Footwear,Samsung Phone,47305,2,30,Card,9,No,4,Referral
OD1093,4/2/2024,C829,Jaipur,Tamil Nadu,52,Male,Home,Accessories,Men T-Shirt,64267,1,10,COD,8,No,3,Organic
OD1094,4/3/2024,C655,Pune,Telangana,52,Female,Electronics,Footwear,Samsung Phone,36238,2,5,COD,7,No,1,Organic
OD1095,4/4/2024,C261,Kolkata,Tamil Nadu,50,Female,Fashion,Accessories,HP Laptop,35284,1,15,UPI,5,Yes,,Referral
OD1096,4/5/2024,C301,Chennai,Maharashtra,22,Female,Fashion,Mobile,Boat Earphones,32479,1,5,Card,5,No,5,Ads
OD1097,4/6/2024,C369,Nagpur,Maharashtra,59,Female,Fashion,Mobile,Nike Shoes,2108,2,30,UPI,5,No,5,Email
OD1098,4/7/2024,C962,Jaipur,Rajasthan,56,Female,Electronics,Kitchen,Office Chair,66752,3,20,Card,6,No,3,Referral
OD1099,4/8/2024,C915,Pune,Telangana,58,Female,Electronics,Furniture,Boat Earphones,28640,3,0,Card,4,No,1,Referral
OD1100,4/9/2024,C370,Delhi,Rajasthan,45,Female,Electronics,Mobile,Office Chair,30508,3,10,Card,2,Yes,4,Referral
OD1101,4/10/2024,C555,Jaipur,Telangana,24,Male,Home,Furniture,Wall Clock,7281,2,20,COD,9,No,1,Referral
OD1102,4/11/2024,C561,Delhi,Gujarat,26,Female,Home,Furniture,HP Laptop,26432,3,40,Card,2,No,5,Organic
OD1103,4/12/2024,C826,Nagpur,Gujarat,25,Male,Electronics,Decor,Prestige Cooker,8806,1,15,COD,6,Yes,3,Organic
OD1104,4/13/2024,C351,Bangalore,West Bengal,29,Male,Fashion,Kitchen,Redmi Phone,38845,3,20,Card,2,No,,Email
OD1105,4/14/2024,C801,Jaipur,Telangana,51,Female,Home,Laptop,Office Chair,51271,2,40,COD,8,No,1,Email
OD1106,4/15/2024,C395,Mumbai,Delhi,50,Female,Electronics,Laptop,Office Chair,40648,3,20,NetBanking,5,No,5,Referral
OD1107,4/16/2024,C824,Delhi,Tamil Nadu,40,Female,Fashion,Clothing,Wall Clock,28025,1,15,COD,9,No,4,Referral
OD1108,4/17/2024,C819,Chennai,Telangana,41,Female,Home,Decor,Samsung Phone,68976,2,20,COD,4,No,3,Referral
OD1109,4/18/2024,C848,Mumbai,Karnataka,54,Male,Fashion,Kitchen,Boat Earphones,6194,3,10,UPI,2,No,2,Email
OD1110,4/19/2024,C437,Ahmedabad,West Bengal,52,Female,Fashion,Clothing,Prestige Cooker,39668,2,30,Card,2,No,1,Referral
OD1111,4/20/2024,C978,Ahmedabad,Karnataka,57,Male,Fashion,Clothing,Women Kurti,48446,2,5,NetBanking,3,No,4,Ads
OD1112,4/21/2024,C152,Pune,Maharashtra,39,Male,Fashion,Decor,Redmi Phone,47723,2,20,UPI,3,Yes,2,Email
OD1113,4/22/2024,C891,Bangalore,Gujarat,44,Female,Home,Laptop,Nike Shoes,46364,3,10,Card,3,No,,Ads
OD1114,4/23/2024,C316,Nagpur,Tamil Nadu,52,Female,Home,Kitchen,Women Kurti,26052,2,5,NetBanking,4,No,5,Referral
OD1115,4/24/2024,C863,Jaipur,Telangana,18,Female,Home,Laptop,Boat Earphones,60909,3,40,NetBanking,5,No,4,Organic
OD1116,4/25/2024,C287,Hyderabad,Karnataka,52,Female,Electronics,Clothing,Redmi Phone,25315,1,5,NetBanking,7,No,5,Ads
OD1117,4/26/2024,C479,Chennai,Tamil Nadu,54,Male,Home,Kitchen,Office Chair,55525,3,40,Card,5,No,3,Email
OD1118,4/27/2024,C592,Delhi,Maharashtra,31,Female,Fashion,Clothing,Nike Shoes,51204,1,20,NetBanking,9,Yes,4,Ads
OD1119,4/28/2024,C140,Nagpur,Gujarat,20,Male,Home,Footwear,Samsung Phone,62421,3,10,NetBanking,5,No,5,Email
OD1120,4/29/2024,C256,Mumbai,Delhi,18,Male,Fashion,Decor,Prestige Cooker,2380,2,30,UPI,4,No,1,Referral
OD1121,4/30/2024,C114,Ahmedabad,West Bengal,22,Male,Electronics,Furniture,Samsung Phone,40066,3,20,COD,8,No,5,Ads
OD1122,5/1/2024,C912,Chennai,Tamil Nadu,43,Male,Fashion,Kitchen,HP Laptop,47864,2,40,Card,8,No,3,Organic
OD1123,5/2/2024,C164,Hyderabad,Tamil Nadu,31,Female,Fashion,Kitchen,Wall Clock,25505,1,15,COD,4,No,2,Ads
OD1124,5/3/2024,C956,Jaipur,Delhi,56,Male,Fashion,Furniture,Redmi Phone,41697,3,5,UPI,3,No,2,Organic
OD1125,5/4/2024,C938,Pune,Tamil Nadu,44,Female,Electronics,Clothing,Samsung Phone,23330,2,20,COD,2,No,,Email
OD1126,5/5/2024,C620,Hyderabad,Maharashtra,26,Female,Home,Footwear,Women Kurti,16958,1,40,NetBanking,6,Yes,2,Referral
OD1127,5/6/2024,C443,Chennai,Maharashtra,32,Female,Home,Accessories,Wall Clock,32942,1,5,NetBanking,6,No,5,Referral
OD1128,5/7/2024,C228,Hyderabad,Delhi,32,Male,Electronics,Furniture,Samsung Phone,42815,3,40,Card,7,No,3,Organic
OD1129,5/8/2024,C747,Chennai,West Bengal,43,Male,Fashion,Decor,Men T-Shirt,64985,1,10,Card,2,No,2,Email
OD1130,5/9/2024,C571,Chennai,Telangana,59,Female,Home,Laptop,HP Laptop,6376,2,0,Card,7,No,1,Referral
OD1131,5/10/2024,C162,Kolkata,Karnataka,30,Male,Electronics,Clothing,Boat Earphones,40052,1,20,UPI,3,No,5,Email
OD1132,5/11/2024,C238,Delhi,Telangana,49,Male,Home,Furniture,Prestige Cooker,5421,1,30,Card,7,No,2,Organic
OD1133,5/12/2024,C598,Ahmedabad,Tamil Nadu,56,Male,Electronics,Furniture,HP Laptop,5185,2,20,UPI,2,Yes,3,Organic
OD1134,5/13/2024,C692,Kolkata,Karnataka,49,Male,Fashion,Kitchen,Wall Clock,33265,1,5,NetBanking,9,No,3,Ads
OD1135,5/14/2024,C491,Jaipur,Rajasthan,21,Female,Home,Laptop,Men T-Shirt,32505,1,10,COD,2,No,1,Referral
OD1136,5/15/2024,C774,Kolkata,Delhi,47,Female,Electronics,Laptop,Redmi Phone,31921,1,40,NetBanking,6,No,3,Referral
OD1137,5/16/2024,C518,Bangalore,Delhi,54,Female,Home,Decor,Women Kurti,12704,1,15,NetBanking,8,No,,Ads
OD1138,5/17/2024,C388,Bangalore,West Bengal,40,Female,Home,Laptop,Prestige Cooker,24026,2,30,NetBanking,3,Yes,2,Organic
OD1139,5/18/2024,C478,Ahmedabad,Karnataka,56,Male,Home,Furniture,Prestige Cooker,18942,1,10,Card,9,Yes,5,Organic
OD1140,5/19/2024,C872,Hyderabad,Maharashtra,32,Female,Home,Accessories,HP Laptop,17023,2,20,Card,4,No,4,Organic
OD1141,5/20/2024,C589,Delhi,Karnataka,60,Female,Electronics,Mobile,Wall Clock,28701,1,15,Card,9,No,3,Organic
OD1142,5/21/2024,C330,Ahmedabad,Tamil Nadu,46,Female,Fashion,Clothing,Redmi Phone,66051,1,10,COD,9,Yes,3,Email
OD1143,5/22/2024,C140,Chennai,Maharashtra,53,Male,Electronics,Mobile,Office Chair,46641,1,0,Card,7,No,4,Referral
OD1144,5/23/2024,C127,Mumbai,Gujarat,30,Male,Electronics,Furniture,Men T-Shirt,62191,1,30,UPI,6,No,3,Referral
OD1145,5/24/2024,C234,Delhi,Gujarat,49,Female,Electronics,Mobile,Office Chair,21354,2,5,NetBanking,7,No,2,Organic
OD1146,5/25/2024,C300,Delhi,Rajasthan,24,Female,Fashion,Furniture,Women Kurti,60871,2,10,COD,7,No,,Organic
OD1147,5/26/2024,C939,Chennai,Gujarat,39,Male,Home,Mobile,Redmi Phone,25594,2,10,COD,4,No,4,Organic
OD1148,5/27/2024,C879,Chennai,Delhi,45,Male,Home,Laptop,Redmi Phone,39223,3,0,COD,3,Yes,3,Referral
OD1149,5/28/2024,C132,Pune,Karnataka,19,Male,Home,Footwear,Men T-Shirt,49740,1,20,COD,2,No,3,Referral
OD1150,5/29/2024,C147,Ahmedabad,Gujarat,59,Female,Fashion,Laptop,Nike Shoes,52502,1,40,COD,5,No,5,Organic
OD1151,5/30/2024,C602,Chennai,Telangana,23,Male,Home,Laptop,Office Chair,68878,2,40,UPI,7,No,3,Email
OD1152,5/31/2024,C506,Bangalore,West Bengal,45,Female,Fashion,Decor,Samsung Phone,16471,3,30,NetBanking,5,No,2,Ads
OD1153,6/1/2024,C673,Jaipur,Telangana,45,Male,Home,Kitchen,Prestige Cooker,23426,1,30,COD,3,No,1,Ads
OD1154,6/2/2024,C827,Mumbai,Gujarat,37,Female,Home,Kitchen,Nike Shoes,67129,2,5,NetBanking,5,Yes,1,Ads
OD1155,6/3/2024,C904,Ahmedabad,Rajasthan,47,Female,Electronics,Mobile,Samsung Phone,52846,1,10,Card,7,No,,Referral
OD1156,6/4/2024,C198,Nagpur,West Bengal,28,Female,Fashion,Furniture,Wall Clock,45782,1,15,COD,4,No,1,Referral
OD1157,6/5/2024,C783,Bangalore,Tamil Nadu,45,Male,Electronics,Decor,Men T-Shirt,12704,2,10,COD,5,No,3,Ads
OD1158,6/6/2024,C971,Hyderabad,Telangana,42,Female,Electronics,Laptop,Wall Clock,13247,2,40,NetBanking,3,No,3,Ads
OD1159,6/7/2024,C825,Chennai,Rajasthan,56,Female,Electronics,Decor,Prestige Cooker,21596,1,5,COD,3,No,5,Email
OD1160,6/8/2024,C646,Nagpur,Karnataka,50,Male,Fashion,Mobile,Boat Earphones,3591,1,10,COD,8,No,3,Referral
OD1161,6/9/2024,C838,Chennai,Karnataka,18,Male,Fashion,Kitchen,Samsung Phone,53810,2,0,COD,8,No,1,Referral
OD1162,6/10/2024,C712,Delhi,Telangana,44,Female,Home,Footwear,Nike Shoes,23191,1,40,UPI,4,No,4,Ads
OD1163,6/11/2024,C561,Bangalore,Gujarat,30,Female,Electronics,Clothing,Samsung Phone,24361,1,10,UPI,5,No,4,Email
OD1164,6/12/2024,C742,Delhi,Rajasthan,58,Female,Home,Mobile,Samsung Phone,5425,2,10,COD,5,Yes,2,Email
OD1165,6/13/2024,C868,Pune,Karnataka,20,Male,Electronics,Decor,Men T-Shirt,4468,1,40,UPI,8,No,2,Ads
OD1166,6/14/2024,C104,Delhi,Tamil Nadu,56,Male,Fashion,Footwear,Wall Clock,36232,1,15,Card,2,No,3,Ads
OD1167,6/15/2024,C317,Pune,Maharashtra,23,Male,Fashion,Clothing,Office Chair,42242,3,40,COD,6,Yes,,Referral
OD1168,6/16/2024,C602,Pune,Gujarat,25,Male,Fashion,Accessories,Boat Earphones,40375,2,0,Card,3,Yes,1,Ads
OD1169,6/17/2024,C866,Nagpur,Rajasthan,44,Male,Electronics,Mobile,Men T-Shirt,20822,3,0,NetBanking,2,Yes,1,Organic
OD1170,6/18/2024,C497,Chennai,Tamil Nadu,26,Male,Fashion,Mobile,Women Kurti,16927,3,10,Card,3,Yes,1,Email
OD1171,6/19/2024,C970,Hyderabad,Rajasthan,54,Male,Electronics,Accessories,Men T-Shirt,35077,3,30,NetBanking,9,No,3,Ads
OD1172,6/20/2024,C894,Delhi,West Bengal,50,Male,Home,Accessories,Prestige Cooker,64639,1,15,COD,9,No,3,Organic
OD1173,6/21/2024,C492,Bangalore,Tamil Nadu,59,Male,Electronics,Mobile,Boat Earphones,6863,1,10,NetBanking,2,No,5,Email
OD1174,6/22/2024,C306,Pune,Gujarat,41,Male,Home,Accessories,Redmi Phone,35848,3,40,NetBanking,9,No,1,Organic
OD1175,6/23/2024,C114,Chennai,West Bengal,32,Female,Electronics,Laptop,Women Kurti,1190,3,10,Card,8,No,1,Organic
OD1176,6/24/2024,C957,Mumbai,Gujarat,49,Male,Home,Clothing,HP Laptop,66966,3,5,Card,8,No,3,Ads
OD1177,6/25/2024,C653,Ahmedabad,Karnataka,49,Male,Fashion,Clothing,Men T-Shirt,46395,1,5,Card,6,No,3,Email
OD1178,6/26/2024,C991,Nagpur,Maharashtra,41,Male,Home,Clothing,Samsung Phone,57561,3,30,COD,2,No,5,Organic
OD1179,6/27/2024,C560,Hyderabad,Gujarat,58,Female,Fashion,Laptop,Office Chair,14360,3,15,COD,3,No,,Referral
OD1180,6/28/2024,C790,Kolkata,Gujarat,29,Female,Fashion,Furniture,Redmi Phone,64427,2,20,Card,5,No,2,Email
OD1181,6/29/2024,C674,Nagpur,Karnataka,56,Male,Home,Accessories,Men T-Shirt,41846,2,5,COD,3,No,4,Referral
OD1182,6/30/2024,C963,Mumbai,Delhi,19,Male,Electronics,Footwear,Men T-Shirt,3620,1,20,COD,7,Yes,1,Ads
OD1183,7/1/2024,C842,Ahmedabad,Karnataka,20,Female,Electronics,Accessories,Nike Shoes,28663,2,0,NetBanking,8,No,1,Referral
OD1184,7/2/2024,C340,Mumbai,West Bengal,54,Female,Electronics,Mobile,Nike Shoes,25990,2,5,NetBanking,4,No,5,Email
OD1185,7/3/2024,C663,Delhi,Karnataka,34,Female,Electronics,Kitchen,Redmi Phone,59721,2,5,Card,4,No,,Organic
OD1186,7/4/2024,C195,Pune,Karnataka,19,Female,Electronics,Decor,Wall Clock,23664,1,15,COD,8,No,2,Organic
OD1187,7/5/2024,C833,Hyderabad,Maharashtra,19,Male,Fashion,Decor,Nike Shoes,4247,2,30,NetBanking,7,Yes,4,Email
OD1188,7/6/2024,C584,Jaipur,Karnataka,45,Male,Electronics,Clothing,Samsung Phone,27052,1,20,UPI,4,No,2,Organic
OD1189,7/7/2024,C506,Pune,Rajasthan,40,Female,Fashion,Accessories,Women Kurti,60879,3,40,COD,9,Yes,4,Referral
OD1190,7/8/2024,C330,Jaipur,Gujarat,54,Male,Fashion,Footwear,HP Laptop,44830,2,5,UPI,8,No,1,Organic
OD1191,7/9/2024,C848,Ahmedabad,Rajasthan,49,Male,Fashion,Mobile,Boat Earphones,40059,1,5,Card,4,No,2,Organic
OD1192,7/10/2024,C754,Chennai,Maharashtra,50,Male,Home,Laptop,HP Laptop,54364,2,15,COD,8,No,5,Referral
OD1193,7/11/2024,C270,Kolkata,Telangana,18,Female,Home,Furniture,HP Laptop,47185,3,15,Card,6,Yes,2,Referral
OD1194,7/12/2024,C640,Bangalore,Delhi,36,Female,Fashion,Laptop,Boat Earphones,5174,1,30,Card,5,No,2,Referral
OD1195,7/13/2024,C135,Pune,Rajasthan,19,Female,Home,Footwear,Nike Shoes,67205,1,20,Card,5,No,1,Ads
OD1196,7/14/2024,C624,Hyderabad,Maharashtra,43,Female,Electronics,Mobile,Redmi Phone,10567,1,0,Card,3,No,5,Referral
